Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
Andover Boe At Early Learning Center,Provider,Early Start CT funded child care,Public School,Andover,06232,"35 School Rd, Andover, CT, 06232",Preschool,Taylor Parker,(860) 742-7339,,EXEMPT; Registry 1658,0,22,0,22,Andover/Hebron/Lebanon LGP,Teresa Surprenant | TSurprenant@eastconn.org,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Abundance of Joy Learning Center,Provider,Early Start CT funded child care,Child Care Center,Ansonia,06401,"195 North Main Street, Ansonia, CT, 06401",Infant/Toddler; School age,Leslie Youngblood,(203) 258-9462,,DCCC.70593; Registry 9472,11,0,2,13,Valley Early Childhood Regional Council,Alyson Stanici | astanisci@ansonia.org | 203-736-5080 ext. 5143,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Ansonia Public Schools Pre-K,Provider,Early Start CT funded child care,Public School,Ansonia,06401,"59 Finney St, Ansonia, CT, 06401",Preschool,Tracy Platt,(203) 736-6964,,DCEX.80523; Registry 2002,0,57,0,57,Valley Early Childhood Regional Council,Alyson Stanici | astanisci@ansonia.org | 203-736-5080 ext. 5143,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Julia Day Nursery and Kindergarten,Provider,Early Start CT funded child care,Child Care Center,Ansonia,06401,"76 Central St, Ansonia, CT, 06401",Preschool,Shannon Bullard,(203) 736-2554,,DCCC.12594; Registry 844,0,23,0,23,Valley Early Childhood Regional Council,Alyson Stanici | astanisci@ansonia.org | 203-736-5080 ext. 5143,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
TEAM-Lower Naugatuck Valley School Early Ch Ed,Provider,Early Start CT funded child care,Child Care Center,Ansonia,06401,"80 Howard Ave, Ansonia, CT, 06401",Infant/Toddler; Preschool,Jamie Peterson,(203) 734-8609,,DCCC.14288; Registry 1589,40,62,0,102,Valley Early Childhood Regional Council,Alyson Stanici | astanisci@ansonia.org | 203-736-5080 ext. 5143,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Valley YMCA Child Care Center - Derby,Provider,Early Start CT funded child care,Child Care Center,Ansonia,06401,"32 Howard Ave, Ansonia, CT, 06401",Preschool,Stephanie Trcka,(203) 732-7778,,DCCC.16707; Registry 2103,0,36,0,36,Valley Early Childhood Regional Council,Alyson Stanici | astanisci@ansonia.org | 203-736-5080 ext. 5143,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Ashford Boe At Ashford Elementary,Provider,Early Start CT funded child care,Public School,Ashford,06278,"440 Westford Rd, Ashford, CT, 06278",Preschool,Polly Borysevicz,(860) 429-6419,,EXEMPT; Registry 1733,0,18,0,18,Ashford LGP,Irene Rowley | irowley@ashfordct.org | 860-487-4417,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
YMCA Children's Center,Provider,Early Start CT funded child care,Child Care Center,Bethel,06801,"57 Grassy Plain St, Bethel, CT, 06801",Preschool,Michele Burbage-Halberg,(203) 744-4890,,DCCC.13501; Registry 128,0,67,0,67,Greater Danbury LGP,Eileen Costello | costello@edadvance.org | 860-567-0863 ext.1160,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bloomfield BOE @ Laurel Elementary School,Provider,Early Start CT funded child care,Public School,Bloomfield,06002,"1 Filley St, Bloomfield, CT, 06002",Preschool,Jennifer Dwyer,(860) 286-2675,,EXEMPT; Registry 9769,0,18,0,18,Alliance for Bloomfield's Children,Gail Nolan | gnolan@blmfld.org | 860-769-5518,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bloomfield Preschool And Childcare Center,Provider,Early Start CT funded child care,Child Care Center,Bloomfield,06002,"10 Wintonbury Ave, Bloomfield, CT, 06002",Infant/Toddler; Preschool,Stephanie Kapell,(860) 242-0183,,DCCC.12135; Registry 365,48,35,0,83,Alliance for Bloomfield's Children,Gail Nolan | gnolan@blmfld.org | 860-769-5518,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Creative Hearts Learning Academy,Provider,Early Start CT funded child care,Child Care Center,Bloomfield,06002,"1154 Blue Hills Ave, Bloomfield, CT, 06002",Infant/Toddler; Preschool,Leah Fleeting,(860) 263-8868,,DCCC.70433; Registry 8527,30,9,0,39,Alliance for Bloomfield's Children,Gail Nolan | gnolan@blmfld.org | 860-769-5518,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Gladys Rodriguez Family Child Care Home (Laly Love Children Daycare LLC),Provider,Early Start CT funded child care,Family Home,Bloomfield,06002,"1126 Blue Hill Avenue, Bloomfield, CT, 06002",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56946; Registry 8131,4,0,0,4,Alliance for Bloomfield's Children,Gail Nolan | gnolan@blmfld.org | 860-769-5518,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The First Academy,Provider,Early Start CT funded child care,Child Care Center,Bloomfield,06002,"1151 Blue Hills Ave, Bloomfield, CT, 06002",Infant/Toddler; Preschool,Elith Howard,(860) 206-1907,,DCCC.70269; Registry 7526,16,19,0,35,Alliance for Bloomfield's Children,Gail Nolan | gnolan@blmfld.org | 860-769-5518,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Branford Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Branford,06405,"16 Birch Rd, Branford, CT, 06405",Infant/Toddler; Preschool; School age,Ariana Loyola,(203) 488-4512,,DCCC.13900; Registry 1475,17,36,5,58,Branford LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Branford FRC At Indian Neck School,Provider,Early Start CT funded child care,Public School,Branford,06405,"12 Melrose Ave, Branford, CT, 06405",Preschool,Lauren Skultety,(475) 238-1270,,DCEX.80579; Registry 1622,0,18,0,18,Branford LGP,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Alliance for Cmty Empowerment Inc. Inner City Children's Ctr,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"1070 Park Ave, Bridgeport, CT, 06604",Infant/Toddler; Preschool,Bonita Perry,(203) 366-8241,,DCCC.14425; Registry 296,16,45,0,61,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Alliance for Comm Empowerment @ Harding High School,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06610,"379 Bond Street, Bridgeport, CT, 06610",Infant/Toddler,Dr. Monette Ferguson,(203) 583-1671,,DCCC.70430; Registry 8524,12,0,0,12,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Alliance for Comm Empowerment@Trumbull Gardens CCC,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06606,"715 Trumbull Ave, Bridgeport, CT, 06606",Infant/Toddler; Preschool,Dr. Monette Ferguson,(203) 366-8241,,DCCC.16497; Registry 1581,8,31,0,39,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Alliance for Community Empowerment@Cesar Batalla CCC,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"927 Grand St, Bridgeport, CT, 06604",Infant/Toddler; Preschool,Monette Ferguson,(203) 366-8241,,DCCC.15636; Registry 335,16,45,0,61,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
